;estado;sigla;regiao;cidade;populacao;pib;pib_percapita
2280;PARANA;PR;SUL;Santa Helena;24198;287765.59375;11892.12011719
2281;PARANA;PR;SUL;Cascavel;296254;4991770.0;16849.63085938
2282;PARANA;PR;SUL;Terra Rica;15060;177265.890625;11770.63964844
2283;PARANA;PR;SUL;Cornelio Procopio;48544;698087.4375;14380.50976562
2284;PARANA;PR;SUL;Marilandia do Sul;9197;144476.171875;15709.04980469
2285;PARANA;PR;SUL;Itauna do Sul;3621;27650.56640625;7636.16992188
2286;PARANA;PR;SUL;Xambre;5829;43094.00390625;7393.04003906
2287;PARANA;PR;SUL;Ariranha do Ivai;2533;26521.0625;10470.21972656
2288;PARANA;PR;SUL;Bom Sucesso do Sul;3075;62097.67578125;20194.36914062
2289;PARANA;PR;SUL;Quinta do Sol;5189;67906.765625;13086.6796875
2290;PARANA;PR;SUL;Missal;10760;124092.0546875;11532.71972656
2291;PARANA;PR;SUL;Pontal do Parana;17820;188657.046875;10586.80957031
2292;PARANA;PR;SUL;Araruna;12962;186316.640625;14374.0703125
